      0.00      1.77  0 2-142-10  
      2.95      2.77  0 2-142-10  
      5.75     -3.23  0 2-142-10  
      0.60      4.08  1 2-142-00  
      3.52     -3.46  1 2-142-00  
      1.30     -9.08  2 1-140-00  
      4.27      9.92  2 1-140-00  
      2.40      0.08  3 2-169-01  
      5.32      1.08  3 2-169-01  
 
      0.00      1.91  0 2-142-10  
      2.95      2.91  0 2-142-10  
      5.75     -3.09  0 2-142-10  
      0.60      4.35  1 2-142-00  
      3.52     -3.19  1 2-142-00  
      1.30     -8.78  2 1-140-00  
      4.27     10.22  2 1-140-00  
      2.40      0.34  3 2-169-01  
      5.32      1.34  3 2-169-01  
 
      0.00     -2.50  0 2-142-10  
      2.95     -1.50  0 2-142-10  
      5.75     -7.50  0 2-142-10  
      0.60      0.00  1 2-142-00  
      3.52     -7.54  1 2-142-00  
      1.30    -13.63  2 1-140-00  
      4.27      5.37  2 1-140-00  
      2.40     -5.22  3 2-169-01  
      5.32     -4.22  3 2-169-01  
 
