2-001-00  Rottal - Nord           49.0097 15.0382  536290 825995  4     911014 T  13   1A1
2-001-01  Rottal-Nord             49.0148 15.0280  515090 830588  4     910715 T  18   1A1
2-005-00  Gmünd, Kirche           48.7740 14.9887  484771 818523  4     081002 P  51531   
2-005-01  Gmünd, Fels             48.7757 14.9841  482607 818647  4     081002 P  51535   
2-005-02  Gmünd, Zoll             48.7757 14.9820  482788 818204  9 270 081002 P  51534   
2-005-10  Schrems, Kirche         48.7941 15.0697  531840 816102  4     911016 P  51498   
3-005-38  Brand, Kirche           48.8658 15.0134  540478 810657  9     081002 P  58711   
3-005-73  Litschau                48.9449 15.0432  515468 822570  8     081002 P  58734   
2-006-00  Pfaffenschlag, Pfarrkir 48.8452 15.1928  570663 826070  4 271 911017 P  64460   
2-006-01  Waidhofen/Thaya, Trafo  48.8127 15.2962  494061 855449  4     911017 P  51313   
2-006-10  Grametten, Zoll         48.9992 15.1162  632000 810277  4     911014 S2-006-10  
3-006-81  ## Dobersberg ## verl.  48.9223 15.3257  494106 866517  4     820707 P  51381   
3-006-93  Schrems, Wasserdurchlas 48.7910 15.0868  552893 814221  8     830913 P  51493   
3-006-98  ## Lichtenberg ## verl. 48.7724 15.3238  554474 843443  4     820705 P  51298   
2-007-00  Raabs,Kirche            48.8477 15.4875  446070 880090  6 292 080929 P  21029A  
2-007-01  ## Raabs ##verloren##   48.8481 15.4983  430965 883207  5     840329 P  21031   
2-007-02  Raabs, Pegel            48.8458 15.5004  401290 888245  4     080929 P  21030A  
2-007-10  ## Fratres, Zoll ##verl 48.9839 15.3470  531683 864552 10     911017 P  51404B  
3-007-84  Blumau an der Wild      48.7594 15.4533  539379 849890 19     860813 P  33784   
2-008-00  Geras, Stiftskirche     48.7984 15.6754  460629 861852  4     910712 P  21056A  
2-008-01  Geras, Stiftsmauer      48.7981 15.6751  461706 861711  6     910710 P  21055   
2-008-02  Geras, Kreuz            48.7930 15.6885  501973 853030  4     910710 P  21058   
2-009-00  Retz, Bahnhof           48.7544 15.9581  244552 898173  4     920317 P  58669   
2-009-01  Mitterretzbach          48.7876 15.9804  270759 895431  5     920317 P  58685   
2-009-02  Retz, Rathaus           48.7577 15.9520  263820 893780  4     910710 P  58671   
2-010-00  Neuruppersdorf, Kirche, 48.7530 16.5195  227500 894800  5 266 910709 T   3  10B1
2-010-01  Neuruppersdorf, KT      48.7531 16.5194  224530 895669  9 266 910709 T2003  10A1
2-011-00  Drasenhofen, Kirche   T 48.7553 16.6504  227000 886172  5 296 951024 T   3  11B1
2-011-10  ## Drasenhofen, Zoll al 48.7796 16.6419  198000 897755  6     911024 S2-011-10  
2-011-11  Drasenhofen Zoll        48.7794 16.6419  198400 897866  4     951024 S2-011-11  
2-012-00  Haibach, Zoll           48.5695 13.4926  308052 834754 12     920630 P  32251   
2-012-01  Gattern / Schardenberg  48.5430 13.4808  425894 808134 11     920630 P  32264   
3-012-31  Parz, Kapelle           48.5822 13.5277  295640 839848  7     920630 P  32231   
2-013-00  Engelhartszell, Marienk 48.5061 13.7326  302909 828933  4     840717 P  32040   
2-013-01  Jochenstein, Kraftwerk  48.5168 13.7070  291685 831322  4     840511 P  32061   
3-013-96  Oberkappel, Kirche      48.5530 13.7714  511326 803333  3     920626 P  30196   
2-014-00  Rohrbach, Ghf. Leitner  48.5724 13.9926  600509 785870  4     920323 P  52908   
2-014-01  Haslach, Rathaus        48.5760 14.0425  535914 797638  5     910717 P  52873   
2-014-02  Rohrbach, Hauptschule   48.5708 13.9948  594413 786915  4 262 920626 P  52907A  
3-014-15  Schwarzenberg, Kapelle  48.7026 13.8370  599564 796978  4     910606 P  58629   
3-014-25  ## Arnreit - Spies, Bil 48.5303 13.9980  606415 780560  6     830927 P  52925   
3-014-39  ## Peilstein, Kirche ## 48.6186 13.8948  584473 795175  4     920625 P  30139   
3-014-89  Aigen, Kirche           48.6465 13.9720  599422 792112  7     920323 P  58589   
2-015-00  Vorderweißenbach, Kirch 48.5529 14.2199  705974 760661  5     920323 P  52804   
2-015-01  Hinter - Weißenbach     48.5638 14.1995  703880 763009  6     920323 S2-015-01  
3-015-75  Bad Leonfelden          48.5232 14.2932  750612 749638  6     830922 P  52775   
1-016-00  Freistadt, Schloss      48.5129 14.5079  554704 776237  3     960718 P  51757A  
1-016-01  Freistadt, Pfarrkirche  48.5117 14.5060  561939 775134  3 288 960718 P  51758   
1-016-02  Freistadt, Johanneskirc 48.5032 14.5032  548514 777466  5     910716 P  51767   
2-016-10  ## Wullowitz, Zoll ##ve 48.6445 14.4552  626184 776972  4     951019 P  52659B  
3-016-27  Rainbach                48.5656 14.4741  706889 752468  3     830922 P  52627   
3-016-55  Schenkenfelden          48.5030 14.3629  735354 747745  4     830922 P  52755   
2-017-00  Karlstift, Pfarrkirche  48.5921 14.7515  936129 712512  4     910718 P  51669   
2-017-01  ## Karlstift, Trafo Wes 48.5906 14.7517  927697 714432  4     910718 P  51670   
2-017-02  Karlstift,Trafo Ost     48.5935 14.7595  905336 719426 10     910718 P  51667   
3-017-03  Sandl                   48.5611 14.6453  927519 708691  7     830914 P  51703   
3-017-38  Bad Großpertholz, Kirch 48.6292 14.8245  714452 760207  8     830913 P  51638   
2-018-00  Großgerungs, Kirche TB  48.5741 14.9589  675970 772845  4     910718 T  17  18B1
2-018-01  ## Etlas Kapelle KT ##v 48.5954 14.9771  673960 777798  4     910718 T 358  18A1
2-018-0B  Großgerungs, Kirche, Bo 48.5741 14.9589  673730 773533  4     910718 S2-018-0B  
3-018-93  Weitra                  48.7017 14.8979  571444 793574 11     830913 P  51593   
2-019-00  Zwettl, Kirche          48.6039 15.1691  518168 820116  4     991028 P  61411   
2-019-01  Zwettl,Kirche           48.6040 15.1692  518832 820105  4     991028 P  61410   
2-019-02  Zwettl, Artner          48.6104 15.1714  511042 822497  4     991028 P  61415   
3-019-37  Schwarzenau, Kirche     48.7440 15.2596  498534 842668 10     820708 P  51437   
2-020-00  Gföhl, Kirche           48.5170 15.4918  579382 821148 32     081008 P  26405A  
2-020-01  ## Krumau Kirche ##verl 48.5903 15.4502  369398 864920  6     840405 N5460551   
3-020-43  Brunn a.d. Wild         48.6945 15.5224  441899 860228  8     860813 P  51243   
3-020-76  Göpfritz, Bahnhof       48.7302 15.3954  577151 836388  4     820705 P  51276   
0-021-00  Stift Altenburg, Obstke 48.6435 15.5961  384595 867383  3 304 060919 P  55788   
0-021-01  Stift Altenburg, Weinke 48.6454 15.5959  379034 868934  3 265 060920 P  55787A  
0-021-02  Stift Altenburg, Weinke 48.6454 15.5959  379023 868828               P  55787B  
1-021-02  Stift Altenburg, Stifts 48.6440 15.5959  389054 866595  3 302 081008 P  55787   
1-021-03  Altenburg, Gemeindeamt  48.6461 15.5946  392397 866573  4     060920 P  55786   
1-021-04  Frauenhofen,Kirche      48.6733 15.6311  321478 882795  3 374 920318 P  51211   
1-021-05  Stift Altenburg, Obstke 48.6435 15.5960  384615 867401  8 304 060921 P  55788A  
1-021-06  Stift Altenburg, Hofein 48.6447 15.5955  389348 866916               P  55787C  
1-021-10  Hutbigl, Haupthöhenpunk 48.6552 15.5994  410153 864439  3 346 060921 P  57513   
1-021-11  Hutbigl Nordwest        48.6554 15.5993  409774 864538  3 347 060920 P  57514   
1-021-12  Hutbigl Nordost         48.6553 15.5995  409902 864508  3 347 060920 P  57515   
1-021-13  Hutbigl,Pfeiler         48.6551 15.5995  411542 863976  4 347 060921 P  57516   
1-021-20  Frauenhofen - Kuhberg   48.6689 15.6376  342113 877794  3     920318 P  51217A  
1-021-21  Frauenhofen - Kuhberg   48.6687 15.6386  338372 878487  3     920317 P  51217B  
1-021-22  Kuhberg                 48.6684 15.6375  337230 878784  3     920317 P  51217C  
1-021-30  Gsofer                  48.6492 15.6332  344251 875394  3 302 920318 P  55781D  
1-021-31  Gsofer                  48.6477 15.6318  345837 875011  4  30 920318 P  55781C  
2-022-00  Hollenstein, Kapelle    48.5542 15.9337  229615 899785  4     031017 P  27132A  
2-022-01  Fahndorf, Marterl       48.5508 15.9552  326932 876211  5     031017 P  27137   
2-022-02  Fahndorf, Kirche        48.5504 15.9672  305320 880006 11     031017 P  27140   
2-023-00  Wulzeshofen             48.7194 16.3034  184224 910946  4     910710 P  37706A  
2-023-01  ## Hadres, Kirche ## ve 48.7091 16.1380  194496 918799 11     840327 P  37740   
2-023-alt ## Wulzelshofen - Altpu 48.7192 16.3034  184200 910981 16     830504 SWulzesho  
2-024-00  ## Ernstbrunn, Kirche # 48.5283 16.3617  292277 865005  4     031017 P  55096   
2-024-01  Thomasl, Kapelle        48.5328 16.3953  249703 872366 10     031017 P  55107   
2-024-02  Pyhra, Kirche           48.5892 16.3789  294407 866590  4     850508 P  55142   
2-024-10  ## Laa/Thaya, Zoll  ##v 48.7306 16.3844  182014 906134  7     911023 P  37684G  
2-024-11  Laa/Thaya, Rathaus      48.7214 16.3864  184414 902442  6     911023 P  37686   
3-024-87  Laa/Thaya               48.7214 16.3865  185624 902098  4     840326 P  37687   
1-025-00  Poysdorf, Bahnhof       48.6644 16.6270  201039 882232  3 290 010920 P  41380A  
1-025-01  Wilhelmsdorf, Bründlkir 48.6653 16.6053  205492 880547  6 264 911023 P  41386   
1-025-02  ## Poysdorf, Barbara Ka 48.6717 16.6305  217141 880143  4 278 910708 P  41378   
1-025-03  Wilhelmsdorf, Bründlkir 48.6654 16.6056  204826 880807  9 264 910708 T  98  25A1
3-025-21  Schrick, Volksschule    48.5127 16.6215  238340 853129  3     940921 P  59021   
3-025-71  Eichhorn                48.5512 16.8311  177551 846802  4     940921 P  59071   
2-026-00  ## Hohenau ##verloren## 48.6037 16.9117  155071 852589  5 288 850417 P  41284   
2-026-01  Rabensburg              48.6272 16.9054  161656 853277  4     920908 P  41292   
2-026-02  Bernhardsthal, Kirche   48.6926 16.8707  166688 863239  4 277 920617 P  41317   
2-026-04  Hohenau, Kirche         48.6037 16.9117  155022 852619  4 288 940921 P  41284A  
2-026-10  ## Reinthal, Zoll, alt  48.7171 16.8355  185000 868458  4     911024 S2-026-10  
2-026-11  Reinthal, Zoll          48.7167 16.8360  185136 868448  4     951023 P  41332C  
3-026-34  Jedenspeigen, Kirche    48.5004 16.8713  157910 845134  9     920616 P  41234   
2-027-00  Braunau, Lourdes-Kapell 48.2569 13.0386  351682 761465 10     020423 P  45020A  
2-027-01  Braunau, Pfarrkirche    48.2580 13.0343  351761 761581  7     020423 P  45022   
2-028-00  Altheim, Bahnhof        48.2710 13.2602  371586 756605  5     970424 P  44963   
2-028-01  Altheim - St. Ulrich    48.2550 13.2368  365862 755523  4     970424 P  44969   
2-029-00  Taufkirchen, Bahnhof    48.4076 13.5236  334114 801731  5     920507 P  44809   
2-029-01  Taufkirchen,Kirche      48.4110 13.5386  340577 801193  8     840510 P  44801   
2-029-02  Schärding, Bezirksgeric 48.4583 13.4345  321236 812543  4     920507 P  44845   
2-029-0B  Taufkirchen, Kirche, Bo 48.4110 13.5386  338020 801982  7     840510 S2-029-1B  
2-030-00  Peuerbach,Kirche        48.3454 13.7740  389586 787235  4     880524 P  44737   
2-030-01  Neukirchen, GA          48.4063 13.7825  555981 764007  8     880524 P  31922   
3-030-19  Wesenufer               48.4613 13.8085  282326 824397  3     840511 P  35619   
3-030-60  Hofkirchen              48.4837 13.8122  600577 770598  4     840717 P  53960   
2-031-00  Hartkirchen, Pfarrkirch 48.3629 14.0046  274348 807215  6     920527 P  36890   
2-031-01  Prambachkirchen, Kirche 48.3160 13.9055  375510 781967  4     840508 P  44701   
2-031-02  Strohheim               48.3379 13.9589  491906 766622  7     840508 P  36993   
2-031-03  Mayrhofberg             48.3682 13.9311  655106 736919  8     840508 P  36972   
3-031-45  Eferding, Pfarrkirche   48.3124 14.0232  271953 806135  5     840508 P  43645   
3-031-95  Aschach, Kirche         48.3677 14.0263  269919 811360  4     840508 P  36895   
2-032-00  Linz, Burschenschaftert 48.3087 14.2475  257679 820702  4     851106 P  43561A  
2-032-01  Puchenau                48.3109 14.2417  262420 820883  4     920527 T 159  32C1
3-032-96  Neußerling, Kirche      48.4276 14.1624  594518 767418  4     920527 P  32096   
2-033-00  Pregarten, Kirche       48.3560 14.5332  424818 787127  5     960718 P  51864   
2-033-01  Pregarten               48.3559 14.5231  418125 788873  6     830919 P  51869   
3-033-09  Freistadt, Bahnhof      48.4961 14.4827  560460 773869  2     830922 P  52709   
3-033-34  Wörgersdorf             48.3849 14.5464  479474 780747  5     830919 P  51834   
2-034-00  Bad Zell, Kirche        48.3496 14.6705  515742 768882  4     031016 P  28086   
2-034-01  ## Pierbach, Gemeindeam 48.3486 14.7590  499651 777310  4     840411 P  28102   
2-034-02  Pierbach, Volksschule   48.3490 14.7551  494093 778137  4     031016 P  28101   
3-034-27  ## Bad Kreutzen, Kirche 48.2672 14.8082  473172 778660  5     031016 P  28027   
2-035-00  St. Georgen am Wald     48.3607 14.8972  787260 729521  4     031016 T  76  35A1
2-035-01  Bärnkopf, Kirche        48.3912 15.0076  969070 702368  4     850805 T  82  35B1
2-035-02  Purath, Kapelle         48.4661 14.9240  922528 714601  6     960715 P  28172   
2-036-00  Würnsdorf, Kirche       48.3164 15.1725  488493 812154  8     991102 P  61321   
2-036-01  Martinsberg, Kirche     48.3757 15.1510  827618 749258  5     991102 P  61342   
2-037-00  Spitz / Donau, Kirche   48.3663 15.4152  223645 874898  4     840410 N4400521   
2-037-01  Spitz / Donau, Bahnhof  48.3656 15.4183  209095 877647  9     840410 N4400522   
2-037-02  ## Spitz, Ufer ##verlor 48.3626 15.4179  203348 879231  4     840410 N4400526   
2-037-03  Hofarnsdorf             48.3610 15.4214  203410 879897  4     840410 N4711085   
2-038-01  Krems, Kremserl         48.4189 15.6019  203011 882050  6 264 130916 P  26368   
2-038-02  Krems-Stein             48.4069 15.5914  198745 878921  4     130916 P  46308   
2-038-03  Krems-Wienerbrücke      48.4134 15.6065  200559 882564  4     130916 P  46302   
2-039-00  Tulln, Kirche           48.3318 16.0577  180146 870526  7     951011 P  59533   
2-039-01  Tulln, Bahnhof          48.3278 16.0655  181332 869486  8     951011 P  59542   
