# -------------------------------------------
# Template stations file (csv) for GravTools
# -------------------------------------------
# Columns:
# 1 station_name: station name (string)
# 2 long_deg: longitude [deg]
# 3 lat_deg: latitude [deg]
# 4 height_m: height [m]
# 5 g_mugal: gravity - 9.8e8 [µGal] (e.g. station 2-001-00: 825995 = 980825995 - 9.8e8)
# 6 sd_g_mugal: Formal error of the gravity in column 5 [µGal]
# 7 vg_mugalm (optional): Vertical gravity gradient [µGal/m]
# 8 sd_vg_mugalm (optional): Formal error of the vertical gravity gradient in column 7 [µGal/m]
#
station_name,long_deg,lat_deg,height_m,g_mugal,sd_g_mugal,vg_mugalm,sd_vg_mugalm
0-071-01,14.9311,47.8087,529.019.400,682261,7,177,
0-101-30,14.9176,47.7195,1489.936,484631,3,358,
0-059-20,16.3742,48.2197,152.439.400,850418,1,243,
0-173-02,11.0253,46.8677,1935.400,1935400,4,190,
1-173-05,11.0254,46.8678,1937.126,239484,3,189,
2-001-00,15.0382,49.0097,536.290,825995,4,,
2-001-01,15.0280,49.0148,515.090,830588,4,270,
2-005-00,14.9887,48.7740,484.771,818523,4,,
2-005-01,14.9841,48.7757,482.607,818647,4,,
2-005-02,14.9820,48.7757,482.788,818204,9,271,
2-005-10,15.0697,48.7941,531.840,816102,4,,
3-005-38,15.0134,48.8658,540.478,810657,9,,
3-005-73,15.0432,48.9449,515.468,822570,8,,
2-006-00,15.1928,48.8452,570.663,826070,4,,
2-006-01,15.2962,48.8127,494.061,855449,4,,
2-006-10,15.1162,48.9992,632.000,810277,4,,
3-006-81,15.3257,48.9223,494.106,866517,4,,
3-006-93,15.0868,48.7910,552.893,814221,8,293,5
3-006-98,15.3238,48.7724,554.474,843443,4,310,14
2-007-00,15.4875,48.8477,446.070,880090,6,,
2-007-01,15.4983,48.8481,430.965,883207,5,,
2-007-02,15.5004,48.8458,401.290,888245,4,,
dummy01,15.5010,48.8460,401.560,888260,5,,
TEST_SITE_1,16.3741951,48.2197227,152.0000,0,5,,
